steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1550180	7735	971.37242603302	35.699999999999946	48.99999999999993	79.796143042408	152.19999999999996	-64.39999999999993	-6.940531370986501	3.6405256705391063
1600321	7986	1002.7737331390381	27.740000000000038	21.000000000000007	98.91320774632001	159.0000000000002	-125.79999999999977	-6.661674303093291	3.6402165483664777
1650032	8233	1033.9376187324524	73.71999999999996	63.999999999999986	61.82615052620442	170.0000000000001	-25.199999999999996	-6.230323342400308	3.6361423672892776
1700204	8483	1065.3728988170624	27.59999999999997	19.49999999999997	63.87369481162722	149.60000000000022	-48.60000000000006	-5.944159250525351	3.6343398848047785
1750454	8734	1096.899882555008	33.99999999999992	56.09999999999995	82.13663413280739	136.0	-96.19999999999999	-5.621173057194371	3.628914991703868
1800384	8984	1128.2461459636688	118.86000000000008	125.4	116.32265662563101	319.40000000000003	-76.19999999999997	-5.503998602193369	3.6309999601003646
1850157	9234	1159.5232026576996	1136.2999999999986	113.69999999999996	3353.6737829166077	10678.199999999986	-43.40000000000001	-4.7962288984258805	3.625582446337998
1900020	9483	1190.8464543819427	75.33999999999993	90.79999999999995	97.41325714022025	193.3999999999999	-55.00000000000003	-4.721585459301122	3.628268832828914
1950095	9733	1222.2837374210358	121.78000000000009	132.7	157.66579139996676	471.0000000000009	-120.99999999999979	-3.4722819073262152	3.6138337076282303
2000037	9984	1253.7012958526611	179.2800000000001	185.90000000000003	143.7192695655126	390.6000000000001	-69.00000000000004	-3.8503526460134636	3.611471649178747
2050006	10233	1285.1502077579498	150.8600000000001	140.40000000000006	100.91021531815095	287.99999999999994	-0.5999999999999517	-1.4098296482775126	3.592155059606328
2100361	10483	1316.8839147090912	165.14000000000004	154.80000000000013	89.80636206119631	318.7999999999999	17.80000000000001	0.30630555264480613	3.5762935291392
2150440	10734	1348.494383573532	1347.0399999999988	285.80000000000024	3283.5019662955347	10680.399999999989	116.40000000000002	3.46173363360758	3.5537939649026526
2200131	10981	1379.9055824279785	403.4800000000004	374.00000000000057	192.0785996524455	670.7999999999998	116.39999999999978	8.034902716828775	3.510057622254919
2250248	11234	1411.5194635391235	441.7800000000003	416.30000000000075	173.82398376902216	675.7999999999997	161.40000000000003	17.619539851428314	3.424599044845163
2300736	11484	1443.5516514778137	1549.199999999995	539.1000000000004	3196.255032238668	10630.999999999949	197.59999999999988	33.08437881330552	3.316459245165666
2350371	11733	1475.0951356887817	1619.3199999999954	647.0999999999995	3156.63080331615	10595.999999999958	449.8000000000002	49.06128460319682	3.215931416677473
2400074	11983	1506.6630733013153	3783.5399999999922	771.199999999999	6830.414434180873	21024.199999999943	493.8000000000007	63.351071771949144	3.1450802433770635
2450022	12233	1538.4691512584686	1681.6599999999971	701.6999999999996	3274.91623105758	10992.599999999971	389.6000000000004	71.37864594372563	3.097783107208508
2500012	12484	1570.329619884491	1809.399999999998	816.7999999999994	3198.879138420548	10896.999999999982	569.2000000000007	71.5594581613314	3.0674358984192462
2550405	12734	1602.3534576892853	770.7999999999996	777.3999999999993	126.30506279990831	979.9999999999998	614.0000000000005	79.14171972015488	3.0737605126392835
2600152	12985	1634.0294625759125	2869.359999999994	983.7999999999993	4307.071706236915	11493.999999999978	440.6000000000004	84.27447069115837	2.992788197926883
2650010	13234	1665.8194711208344	821.4599999999992	794.6999999999989	183.03182601212632	1130.1999999999991	500.6000000000002	84.41747415148382	3.042964344070866
